Region,Site,DecayClass,TreeSpecies,WoodType,mg CO2/g/d,Moisture Content (%),Density (g/cm3),TC %,TKN %,P mg/kg,K mg/kg,Ca mg/kg,Mg mg/kg,Mn mg/kg,C/N,N/P,Diameter
Northeast,2,1,Jack pine,softwood,1.04,68.52146264,0.383,54.33,0.0186,15.46,111.07,468.21,25.93,6.06,2921.84,12.03039861,15.45
Northeast,2,1,Jack pine,softwood,0.54,43.02374011,0.371,50.99,0.0186,16.31,219.57,746.17,124.29,6.1,2739.02,11.41156275,14.7
Northeast,2,2,Jack pine,softwood,1.16,56.98138298,0.332,51.49,0.0446,23.15,77.5,1114.76,154.74,9.26,1154.1,19.26847859,13.25
Northeast,2,2,Jack pine,softwood,0.75,61.30518234,0.334,50.24,0.0338,17.56,78.92,658.43,121.27,5.7,1488.67,19.21998412,10
Northeast,2,2,Jack pine,softwood,0.33,55.9391457,0.359,49.39,0.0201,11,52.61,637.58,147.07,46.13,2455.92,18.28356824,11.05
Northeast,2,3,Jack pine,softwood,0.7,45.7698371,0.245,50.84,0.0614,41.98,182.64,853.22,236.99,31.42,827.58,14.63353058,12.6
Northeast,2,3,Jack pine,softwood,0.05,74.72118959,0.132,45.47,0.1289,63.54,649.21,1766.42,459.21,172.26,352.86,20.27825579,13.35
Northeast,2,3,Jack pine,softwood,0.53,60.92564492,0.16,46.53,0.1034,51.9,820.94,2128.81,448.78,104.28,450.07,19.92019711,10.75
Northeast,2,4,Jack pine,softwood,0.4,61.25031638,0.293,50.13,0.0563,29.96,74.74,1226.87,171.41,41.31,889.84,18.79980225,11.9
Northeast,2,4,Jack pine,softwood,0.45,79.70135324,0.191,51.13,0.0891,65.43,367.14,1700.29,502.71,107.24,573.61,13.62286806,11.75
Northeast,2,4,Jack pine,softwood,0.56,71.56094084,0.296,52.29,0.0948,70.69,62.96,1493.84,310.84,74.96,551.53,13.41055478,10.8
Northeast,2,5,Jack pine,softwood,0.44,86.20833333,0.11,49.45,0.2092,136.92,380.73,2475.61,249.44,0.99,236.34,15.27988254,16.85
Northeast,2,5,Jack pine,softwood,1.2,91.07901444,0.104,49.06,0.285,174.96,455.52,4110.74,275.34,6.03,172.16,16.28901503,18.2
Northeast,2,5,Jack pine,softwood,1.32,89.543058,0.109,49.87,0.386,272.16,506.88,6058.32,381.91,0.98,129.2,14.18172121,16.15
Northeast,2,1,Trembling aspen,hardwood,0.49,72.09381373,0.363,47.93,0.0898,37.7,1208.05,9209.64,560.28,3.31,533.55,23.82822394,11.45
Northeast,2,1,Trembling aspen,hardwood,0.71,55.32367973,0.331,46.97,0.0639,43.35,1282.7,8450.13,775.79,3.18,735.4,14.73598065,10.5
Northeast,2,1,Trembling aspen,hardwood,0.82,56.47961243,0.357,48.45,0.0573,37.51,982.25,5338.64,372.86,3.34,845.05,15.28499044,9.65
Northeast,2,2,Trembling aspen,hardwood,0.47,74.11981083,0.241,48.28,0.095,56.85,307.7,6291.7,348.53,6.19,508.21,16.71190323,10.85
Northeast,2,2,Trembling aspen,hardwood,0.62,74.92524562,0.258,49.2,0.1276,73.12,393.88,5614.84,407.68,9.09,385.63,17.45106676,9.2
Northeast,2,2,Trembling aspen,hardwood,0.29,49.81696156,0.369,49.01,0.0815,36.7,875.26,4506.34,365.06,3,601.18,22.21184931,9.4
Northeast,2,3,Trembling aspen,hardwood,0.61,79.64636542,0.168,47.05,0.1632,65.23,478.06,4344.72,486.21,1.59,288.26,25.02527328,9.4
Northeast,2,3,Trembling aspen,hardwood,1.13,83.58793576,0.185,45.33,0.1092,108.16,811.98,4390.85,603.01,0.95,415.21,10.09334877,14.8
Northeast,2,3,Trembling aspen,hardwood,2.65,87.10801394,0.131,45.37,0.117,70.8,454.64,7046.07,652.38,3.58,387.88,16.52216787,14.1
Northeast,2,4,Trembling aspen,hardwood,0.6,43.74158816,0.168,47.91,0.1649,100.31,2716.41,8370,1204.56,5.62,290.48,16.44353516,10.15
Northeast,2,4,Trembling aspen,hardwood,0.74,88.84381339,0.071,50.18,0.3869,325.99,420.12,7364.2,1062.74,1,129.68,11.86846037,8.1
Northeast,2,4,Trembling aspen,hardwood,0.9,82.99957392,0.222,51.5,0.1782,94,2217.42,4787.52,512.02,5.15,288.93,18.96044604,13.2
Northeast,2,5,Trembling aspen,hardwood,0.91,88.802589,0.069,48.11,0.3139,245.63,406.76,8750.41,433.15,5.59,153.3,12.77806164,9
Northeast,2,5,Trembling aspen,hardwood,0.98,80.4004215,0.148,50.24,0.2918,185.23,455.22,9225.02,536.93,23.31,172.18,15.75208096,9.45
Northeast,2,5,Trembling aspen,hardwood,2.19,88.15943728,0.076,47.5,0.4125,233.1,331.43,2973.15,369.26,0.93,115.16,17.69477146,13.15
Northeast,3,1,Jack pine,softwood,0.44,47.55509642,0.474,52.28,0.0491,29.05,159.91,1667.04,161.23,61.14,1064.04,16.9125565,11
Northeast,3,1,Jack pine,softwood,0.25,59.16856492,0.411,51.22,0.0267,24.17,85.67,1301.71,148.22,59.79,1916.7,11.05737131,9.5
Northeast,3,1,Jack pine,softwood,0.19,57.69556622,0.432,51.14,0.0426,21.17,73.44,1249.15,174.04,65.27,1199.44,20.13676154,8.75
Northeast,3,2,Jack pine,softwood,0.42,53.93617021,0.499,50.71,0.0421,18.29,234.97,1055.74,205.18,73.57,1204.55,23.01963258,10.3
Northeast,3,2,Jack pine,softwood,0.52,54.40340909,0.439,53.26,0.0454,20.76,66.04,1061.32,191.4,70.26,1172.86,21.87180553,10
Northeast,3,2,Jack pine,softwood,0.93,42.18106996,0.44,49.97,0.025,10,50,1036.8,272.32,64.57,1996.04,25.0352,7.65
Northeast,3,3,Jack pine,softwood,0.84,72.6655348,0.298,51.3,0.0614,21.61,189.3,1300.84,177.54,1,834.94,28.42765325,6.35
Northeast,3,3,Jack pine,softwood,0.6,77.61868877,0.306,51.08,0.0331,26.91,57.06,1213.86,190.28,65.6,1542.13,12.31086485,7.8
Northeast,3,3,Jack pine,softwood,0.67,69.46169772,0.26,50.55,0.0195,19.18,81.23,900.44,175.56,67.15,2598.34,10.14245569,7.4
Northeast,3,4,Jack pine,softwood,0.25,80.90781469,0.117,48.1,0.1591,108.46,256.4,1618.65,247.9,51.94,302.38,14.66636075,11
Northeast,3,4,Jack pine,softwood,0.92,71.24352332,0.272,50.53,0.0767,58.52,157.76,1196.7,240.31,75.74,659.04,13.10219043,10.45
Northeast,3,4,Jack pine,softwood,0.41,76.08271557,0.16,52.49,0.0753,63.38,385.22,1135.85,199.97,81.45,696.7,11.88853815,9.3
Northeast,3,5,Jack pine,softwood,0.54,79.03145282,0.337,41.81,0.1229,89.15,145.33,2013.16,183.16,30.42,340.28,13.78303314,7.75
Northeast,3,5,Jack pine,softwood,0.26,63.59148411,0.211,52.66,0.1231,89.43,259.39,1435.21,161.14,62.9,427.86,13.76299924,7.25
Northeast,3,5,Jack pine,softwood,0.48,84.79012346,0.218,51.94,0.0819,74.62,56.14,805.82,127.38,40.73,633.85,10.98203397,8.75
Northeast,3,1,Trembling aspen,hardwood,0.2,51.17381004,0.351,48.86,0.0467,36.38,939.95,4793.13,717.17,4.63,1046.9,12.82905225,12.55
Northeast,3,1,Trembling aspen,hardwood,0.32,56.8680182,0.364,48.82,0.0493,41.85,855.41,6018.32,719.1,5.75,989.85,11.78640722,11.5
Northeast,3,1,Trembling aspen,hardwood,0.49,64.58694396,0.362,49.41,0.0968,55.94,865.26,3742.01,521.43,9.72,510.6,17.29835189,10.6
Northeast,3,2,Trembling aspen,hardwood,0.7,77.49572162,0.351,48.82,0.105,69.55,261.37,4213.48,441.77,3.44,464.82,15.10101194,13.45
Northeast,3,2,Trembling aspen,hardwood,0.9,60.41284404,0.268,47.87,0.0682,25.18,493.03,1999.68,320.05,2.95,701.84,27.08715118,12.55
Northeast,3,2,Trembling aspen,hardwood,0.57,66.17360841,0.361,48.92,0.0356,21.79,313.57,1396.38,317.72,1,1374.38,16.33234364,11.4
Northeast,3,3,Trembling aspen,hardwood,0.75,78.42688049,0.123,49.75,0.2526,131.83,1342.75,6547.93,1071.85,62.83,196.9,19.16506734,9.6
Northeast,3,3,Trembling aspen,hardwood,0.92,85.61349693,0.23,48.34,0.1034,54.24,1490.97,5734.15,1204.7,64.91,467.52,19.06401352,10.2
Northeast,3,3,Trembling aspen,hardwood,0.75,90.2635105,0.163,49.1,0.1318,66.45,290.57,4527.06,650.69,21.46,372.63,19.83008738,8.6
