Region,Site,DecayClass,TreeSpecies,WoodType,mg CO2/g/d,Moisture Content (%),Density (g/cm3),TC %,TKN %,P mg/kg,K mg/kg,Ca mg/kg,Mg mg/kg,Mn mg/kg,C/N,N/P,Cmass,Nmass,Pmass,Kmass,Camass,Mgmass,Mnmass,LowerDiameter,UpperDiameter,Length
3W,2,5,Po,hardwood,0.65,85.51181102,0.157,49.09,0.1298,84.82,1967.71,7438.8,1078.9,59.39,378.29,15.30031627,1401.310377,3.705237052,0.242124967,5.616973806,21.23460507,3.079799889,0.16953315,11.5,8.5,120.0
3W,3,1,Sb,softwood,0.4,34.1110746,0.443,49.24,0.0306,33.88,330.41,2376.48,270.61,150.95,1609.41,9.031573833,3966.097842,2.464715556,0.272890729,2.661328977,19.1416576,2.179662342,1.215845795,10.7,9.9,211.5
3W,3,1,Sb,softwood,0.54,39,0.5,49.12,0.045,39.89,379.55,2513.9,248.23,147.85,1092.23,11.27529199,4465.4992,4.09095,0.36263999,3.45048905,22.8538649,2.25665893,1.34410435,10.0,9.4,196
3W,3,1,Sb,softwood,0.66,44.69103568,0.434,49.33,0.0354,49.32,437.29,2067.24,173,153.72,1392.03,7.185525834,3892.62438,2.793409752,0.389183528,3.450650143,16.31256603,1.365140924,1.213002675,9.5,8.4,219
3W,3,2,Pj,softwood,0.41,63.08296514,0.37,50.75,0.0107,10,55.43,1561.72,275.75,44.76,4758.03,10.66704732,3414.12505,0.71982538,0.0672734,0.372896456,10.50622142,1.855064005,0.301115738,13.8,12.3,196.5
3W,3,2,Pj,softwood,0.42,64.98964191,0.313,50.32,0.0352,19.49,66.23,1331.32,284.41,64.01,1427.96,18.08191212,2863.694091,2.003220032,0.110916927,0.376912678,7.576496855,1.61856764,0.364278734,12.5,10.7,205
3W,3,2,Pj,softwood,0.26,62.91270918,0.386,50,0.0164,14.76,57.69,1014.71,174.65,4.64,3041.13,11.13985551,3509.126,1.150993328,0.1035894,0.404882958,7.121490487,1.225737712,0.032564689,10.0,8.5,214
3W,3,3,Pj,softwood,0.58,56.84468999,0.404,49.89,0.0391,10,50,900.61,227.88,13.25,1274.86,39.13160953,3664.683919,2.872101448,0.07345528,0.3672764,6.615455972,1.673898921,0.097328246,9.3,8.3,201.5
3W,3,3,Sb,softwood,0.98,68.73527101,0.226,48.13,0.099,56.64,50,1954.67,320.29,370.97,486.35,17.47357828,1977.725232,4.06804068,0.232741236,0.2054566,8.031997046,1.316113888,1.524364698,9.0,7.6,184
3W,3,3,Pj,softwood,0.5,34.92695883,0.326,50.17,0.0846,30.27,92.22,1163.94,290.19,72.33,593.16,27.9412427,2973.742464,5.014522872,0.17942034,0.546618557,6.899058808,1.720052473,0.428723924,9.0,8,170.5
